title_desc,img,latitude,longitude
Appartamento 40mq vicino al centro città,img/01.jpg,44.05646,12.56529
B&B vicino alla stazione,img/02.jpg,44.06404,12.5724
Camera hotel spaziosa e accogliente,img/03.jpg,44.0609,12.57127
Appartamento in periferia con tanto spazio verde,img/04.jpg,44.06072,12.54365
Appartamento spazioso con cucina rimodernata,img/05.jpg,44.49707,11.34925
Piccola stanza in centro con vista,img/06.jpg,44.49346,11.34402
Villa vicino al mare 200mq,img/07.jpg,40.30532,17.65809
Mansarda spaziosa con bagno,img/08.jpg,44.4985,11.32177
A Ca do Dria in Centro Storico,img/09.jpg,44.40648,8.93583
Appartamento intero ELESTE Centro Storico,img/10.jpg,44.30507,9.20611
Vibe Loft,img/11.jpg,40.30547,17.67595
Comodo servizi e lungomare,img/12.jpg,44.41115,8.92912
Camera con vista mare,img/13.jpg,44.07988,12.55017
Comodo appartamento nei vicoli,img/14.jpg,44.05445, 12.56538
Casa di Silù,img/15.jpg,45.52487,9.08205
Appartamento IL VICOLETTO,img/16.jpg,45.49528,9.29031
Come a casa propria,img/17.jpg,45.47255,9.2034
Tranquillo bilocale nel verde a due passi dal mare,img/18.jpg,44.07176,12.57616
Camera carina,img/19.jpg,45.48554,9.24199
K-Loft,img/20.jpg,40.0523,17.99535